URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,9.717,1.981,1058.667,51.667,1.729,5.735
https://66law.cn/,2.224,0.527,11.0,3.0,0.575,0.487
https://adfoc.us/,5.742,3.835,264.0,41.0,3.682,5.508
https://afad.gov.tr/,8.525,5.805,2015.333,102.0,4.89,7.421
https://allabout.co.jp/,28.082,8.902,1881.667,245.667,3.172,20.385
https://ameblo.jp/,8.277,5.17,574.667,40.667,2.534,5.447
https://anilist.co/,31.747,7.347,1483.0,323.0,7.362,16.277
https://assets.nhs.uk/,2.14,1.299,1.0,2.0,1.299,1.081
https://atwiki.jp/,9.016,3.517,722.333,55.333,2.852,5.095
https://audius.co/,37.504,27.004,11215.333,98.0,27.05,32.738
https://autoteka.ru/,26.368,9.935,3404.667,112.0,3.05,18.586
https://azbyka.ru/,2.624,1.501,291.0,33.0,1.522,1.445
https://bambooclothing.co.uk/,64.662,16.319,19774.0,283.0,4.445,0.0
https://band.us/home,8.477,6.218,1358.0,30.0,6.139,8.016
https://bb.com.br/pbb/,3.576,0.0,4.0,4.0,2.266,3.112
https://biwork.ru/,13.88,2.974,2213.333,116.333,2.64,8.818
https://bkm.com.tr/,4.033,2.66,633.0,41.0,2.49,3.752
https://brunch.co.kr/,2.093,0.0,17.0,2.0,,1.387
https://bubbl.us/,10.144,3.355,782.0,35.0,1.829,8.128
https://businesstech.co.za/,2.214,2.139,55.0,6.0,2.186,2.139
https://buyabattery.co.uk/,10.146,7.107,2072.0,105.0,4.045,8.876
https://carrd.co/,2.64,2.868,473.667,19.0,1.317,1.978
https://chsi.com.cn/,119.778,0.0,1416.0,145.0,,119.651
https://clutch.co/,10.36,2.693,769.0,39.333,2.212,6.526
https://convertio.co/,8.419,1.6,863.333,24.667,1.336,5.903
https://coolors.co/,14.709,16.704,2305.0,40.667,1.867,4.328
https://ctonline.mx/,19.843,11.594,4345.333,260.667,4.241,16.845
https://danbooru.donmai.us/,8.215,7.063,904.0,36.0,6.64,7.327
https://decrypt.co/,40.815,10.107,2298.0,366.0,8.449,38.259
https://dergipark.org.tr/en/,10.057,3.645,3225.0,71.0,3.045,8.293
https://dns-shop.ru/,1.831,0.605,1.0,3.0,0.651,0.569
https://dzen.ru/,100.965,20.917,404.0,518.667,100.956,100.866
https://edomex.gob.mx/,10.967,4.974,4461.0,133.333,2.718,9.869
https://electrek.co/,10.18,1.926,13037.0,59.333,1.431,6.751
https://elisdn.ru/,4.452,1.554,206.667,22.667,1.534,4.217
https://emisoras.com.mx/,12.697,2.256,742.333,134.333,1.584,8.458
https://enabiz.gov.tr/,15.844,5.728,4221.0,54.0,2.623,13.48
https://erothots.co/en/yzt,13.495,3.301,1395.0,44.0,2.408,9.412
https://etoland.co.kr/plugin/mobile/,11.074,4.067,1883.667,97.667,3.8,8.131
https://ewn.co.za/,9.847,3.619,583.0,39.0,1.526,2.741
https://exblog.jp/,15.244,4.719,3015.333,106.333,3.362,8.118
https://flic.kr/,5.765,2.327,381.0,10.0,1.908,3.24
https://fm-base.co.uk/,35.14,3.046,1628.333,345.333,2.608,7.309
https://follow.it/intro,11.139,7.299,309.0,29.0,5.956,6.86
https://g.pconline.com.cn/,11.335,8.382,376.333,49.333,6.293,9.636
https://game8.jp/,30.445,8.206,2827.0,436.0,5.112,26.668
https://gamewith.jp/,16.309,8.117,2163.0,80.667,5.241,15.241
https://garanteprivacy.it/,5.733,3.062,2424.333,86.333,2.066,5.026
https://gbiz-id.go.jp/top/,19.502,5.943,2039.0,78.0,3.278,15.403
https://geolsoc.org.uk/,9.218,5.706,916.0,169.0,3.859,8.112
https://gmw.cn/,17.864,8.236,2155.0,206.0,,16.942
https://healthefx.us/,7.701,4.36,1139.0,37.0,3.542,6.906
https://heraldodemexico.com.mx/,38.661,5.159,5438.667,333.667,4.361,37.946
https://hh.ru/,15.025,3.833,523.667,100.333,2.251,12.828
https://hidakaya.hiday.co.jp/,39.103,11.871,2991.667,180.0,2.914,33.51
https://hmail.hanyang.ac.kr/mobile/mobileIndex.ds,3.619,2.258,172.667,16.667,1.901,2.978
https://huggingface.co/,8.498,2.526,562.0,44.0,2.573,4.974
https://ico.org.uk/,3.94,4.603,164.0,12.0,2.344,2.701
https://inegi.org.mx/,5.511,2.878,487.333,49.333,2.323,4.411
https://ipn.mx/,3.117,1.544,0.0,2.0,1.592,1.482
