URL,plt,lh_si,pagesize,numreq,fcp,domC
https://1x-bet.in/en,4.098,2.898,110.0,19.0,2.927,3.826
https://1xbet.cd/,28.161,13.698,4608.667,138.0,4.956,9.03
https://1xbet.et/en,17.997,14.732,2652.333,94.333,5.741,9.054
https://2b.com.eg/ar/,44.952,29.071,2383.0,488.667,5.723,31.775
https://7sur7.cd/,19.976,7.763,1808.667,83.0,4.285,8.61
https://actu7.cd/,15.321,9.323,1757.333,72.667,4.116,11.339
https://affilio.ir/,12.161,6.178,1169.333,69.333,1.867,11.742
https://ahram.org.eg/,41.245,10.716,4079.667,393.667,5.164,27.765
https://ait.ac.th/,6.229,4.464,1855.667,46.667,1.779,3.895
https://aleqaria.com.eg/,21.143,5.649,2320.333,201.667,2.473,7.29
https://alexu.edu.eg/,22.306,5.148,16616.333,105.667,2.914,21.931
https://alzahra.ac.ir/,10.557,6.399,4995.0,114.0,2.84,10.179
https://amharabank.com.et/,14.979,5.109,2165.0,52.0,5.096,1.806
https://amharacoc.gov.et/,3.366,2.845,66.0,28.0,2.703,2.978
https://amharajusticetraining.gov.et/,5.912,5.95,491.333,35.0,4.88,5.191
https://aptus.co.tz/,2.168,1.314,528.0,44.0,1.236,1.488
https://baemin.vn/,5.787,2.098,1995.0,61.0,1.145,4.782
https://bama.ir/,18.149,2.636,1978.0,67.333,1.795,14.444
https://bangladesh.gov.bd/index.php,74.44,32.033,6472.0,246.333,7.89,55.168
https://bazeuniversity.edu.ng/,22.489,8.622,17170.333,112.667,5.623,17.835
https://bdris.gov.bd/home,5.093,4.043,595.333,23.333,3.709,3.935
https://betika.et/et/mobile/,17.634,6.92,2368.0,90.333,1.478,13.769
https://betwinner.cd/en,4.885,3.886,100.0,19.0,3.908,4.686
https://biashara.co.ke/,3.452,3.746,51.0,6.0,2.892,3.452
https://bri.co.id/,5.509,8.592,2311.0,91.667,3.222,4.858
https://businessmirror.com.ph/,48.025,12.122,3262.667,362.0,8.606,39.044
https://buypower.ng/,18.76,4.748,1186.667,83.333,3.373,7.945
https://cabinet.gov.bd/,47.702,10.342,4622.333,142.0,8.601,41.29
https://campusnews.com.ng/,7.183,3.132,801.0,57.667,1.789,5.219
https://capitolnews.co.ke/,5.351,4.506,1202.0,35.0,2.999,4.015
https://carnival.com.bd/,16.143,13.096,2066.333,109.0,3.818,14.123
https://cbeib.com.et/,4.705,4.191,1210.0,24.0,4.091,3.945
https://cellphones.com.vn/,24.295,14.086,2769.667,205.667,3.53,20.597
https://championsbattle.com.mm/,12.552,7.814,1148.667,41.0,4.33,11.697
https://cleartax.in/,18.643,2.853,2018.333,130.333,2.452,6.336
https://congo.cd/,7.713,1.09,206.0,18.0,1.135,4.293
https://cop27.eg/,6.452,0.0,260.0,21.333,,4.22
https://cu.edu.eg/ar/Home,8.84,4.436,1161.0,98.0,2.803,8.414
https://daffodilvarsity.edu.bd/,10.994,8.815,5857.0,132.333,1.939,10.622
https://dailypost.ng/,13.742,7.596,1494.667,129.0,3.001,4.514
https://dantri.com.vn/,29.006,5.55,2054.0,183.0,2.167,20.82
https://dbe.com.et/,4.695,4.201,705.0,38.0,3.484,4.289
https://deped.gov.ph/,6.979,5.861,1278.667,102.0,3.457,6.702
https://dghs.gov.bd/,41.427,14.765,5717.667,157.0,6.905,36.827
https://dgip.gov.pk/,12.755,7.225,6327.333,104.0,5.557,8.769
https://dhakaeducationboard.gov.bd/,5.048,3.238,1313.667,49.667,1.987,4.775
https://dica.gov.mm/,8.386,8.953,1597.0,63.0,5.364,7.348
https://digiskills.pk/,9.961,7.82,2562.0,77.0,2.478,8.726
https://divar.ir/,21.691,8.399,891.0,33.0,4.684,20.788
https://doh.gov.ph/,40.0,4.539,4753.667,94.333,3.394,38.184
https://drcactu.cd/,8.806,6.162,1415.667,41.667,4.216,6.926
https://dsma.edu.mm/,3.509,2.146,510.0,16.0,1.869,2.144
https://eaes.edu.et/,6.227,3.053,972.0,27.0,2.94,5.88
https://educationnewshub.co.ke/,2.564,1.088,74.0,6.0,1.12,1.322
https://ega.go.tz/,8.984,3.962,10428.333,116.0,2.845,8.252
https://egx.com.eg/ar/homepage.aspx,10.553,3.733,32.333,39.0,3.49,9.467
https://egymonuments.gov.eg/,29.343,25.111,7424.667,111.0,2.798,28.243
https://eijssa.journals.ekb.eg/,4.868,2.057,465.0,41.0,1.783,4.395
https://emalls.ir/,7.134,3.065,282.667,23.667,2.671,4.403
https://emis.gov.eg/,6.67,3.221,675.333,53.333,2.362,5.664
https://ethernet.edu.et/,15.322,4.208,2931.0,127.0,3.142,10.089
https://etrade.gov.et/,6.542,5.84,790.0,29.0,5.288,5.941
https://exo.ir/,16.226,7.193,753.0,67.0,3.423,13.448
https://farangmart.co.th/,13.655,2.72,1000.667,131.0,2.213,6.942
https://fbr.gov.pk/,8.143,2.845,1687.333,72.0,1.846,7.617
https://fbtsarl.cd/fr/,5.688,4.479,759.667,34.667,4.245,4.804
https://fiber.3bb.co.th/,119.809,0.0,590.0,126.0,,119.186
https://fidelitybank.ng/,0.966,0.562,11.0,6.0,0.599,0.545
https://findaya.co.id/,2.656,5.524,535.0,18.333,1.262,2.147
https://fossee.in/,9.526,5.146,982.0,95.0,4.955,7.114
https://fptshop.com.vn/,27.151,12.325,3142.333,203.0,1.912,16.998
https://freebitco.in/signup/,10.93,9.606,838.0,46.0,5.308,8.857
https://fue.edu.eg/,4.883,3.109,515.0,51.0,2.234,4.054
https://gov.go.tz/,1.675,1.36,0.0,2.0,1.407,1.315
https://groww.in/,14.942,6.716,1118.667,88.0,4.878,12.919
https://guidetothephilippines.ph/,20.626,2.198,1174.667,70.333,1.501,3.007
https://habari.co.tz/,9.529,3.221,1459.333,59.667,2.516,8.34
https://habarileo.co.tz/,10.169,6.556,3032.0,91.333,3.455,9.409
https://hochiminhcity.gov.vn/,48.888,20.24,16707.667,131.0,2.845,47.771
https://home.s.id/,22.041,22.142,1761.0,97.333,10.034,16.003
https://hosting.cd/site/web/,4.351,2.399,495.667,18.0,1.779,2.511
https://hrex.gov.in/,20.947,11.947,3864.0,76.333,9.204,11.886
https://hu.edu.et/,12.862,7.837,5471.0,134.0,3.356,8.965
https://ibps.in/,3.043,2.33,531.0,37.0,2.012,2.865
https://ict.com.mm/,78.093,23.283,2912.333,206.333,3.384,40.05
https://ikco.ir/,117.998,99.797,2363.667,129.0,117.976,117.998
https://immigration.gov.ng/,10.552,3.408,3100.333,63.333,2.724,4.037
https://inaproc.id/,8.774,2.899,843.0,34.667,2.663,8.52
https://indiapostgdsonline.gov.in/,3.095,2.62,577.0,12.0,2.539,2.404
https://indihome.co.id/,101.641,32.265,4801.667,256.0,10.336,57.286
https://insa.gov.et/,3.474,1.322,6.0,4.0,1.362,0.896
https://ipb.ac.id/,11.193,6.326,2095.667,63.333,3.528,9.819
https://iprice.ph/,11.184,5.976,598.0,71.0,3.309,6.61
https://jamejamonline.ir/,12.731,6.301,5089.333,182.333,2.62,9.301
https://jang.com.pk/,13.753,4.39,1183.333,91.333,2.702,4.834
https://jiji.com.et/,12.729,2.68,842.667,48.0,1.92,9.526
https://jiji.ng/,14.216,4.33,941.667,54.667,3.43,9.076
https://jobinja.ir/,29.562,4.194,900.0,50.667,2.31,14.837
https://ju.edu.et/,14.812,9.446,4086.0,113.0,3.897,8.858
https://karibu.tz/,10.745,7.903,1599.0,68.0,4.456,7.182
https://kbc.co.ke/,86.419,12.731,13659.667,700.333,3.372,43.935
https://kemendesa.go.id/,5.59,5.526,10284.0,25.0,2.712,4.392
https://kemenkeu.go.id/home,20.901,13.074,3517.333,65.0,5.327,18.976
https://kemkes.go.id/,65.913,6.784,87.667,16.333,3.116,65.878
https://kerala.gov.in/,57.23,56.077,9195.333,132.333,3.389,56.696
https://kickass.cd/,0.918,0.406,10.0,5.0,0.873,0.863
https://kku.ac.th/,10.564,4.777,3488.0,89.0,3.638,10.16
https://komiku.id/,5.972,1.485,293.667,32.333,1.242,5.635
https://kra.go.ke/,9.228,5.639,4794.0,77.0,1.989,7.342
https://lagosstate.gov.ng/,10.346,6.482,4772.0,89.0,3.232,10.092
https://laodong.vn/,120.064,0.0,144.333,866.0,,0.0
https://laproximite.cd/,11.977,7.395,1202.333,59.333,3.807,8.377
https://lautech.edu.ng/,28.247,10.564,4093.0,98.0,2.28,24.417
https://ldtax.gov.bd/,27.083,8.98,992.0,41.667,6.668,26.12
https://leadership.ng/,12.011,3.865,1124.333,96.333,3.785,4.656
https://lged.gov.bd/,47.262,14.329,7870.667,196.667,6.609,38.47
https://licindia.in/,14.432,5.406,6128.0,111.0,3.162,13.767
https://lums.edu.pk/,45.287,6.62,70991.0,147.0,3.383,42.624
https://m.cafef.vn/,13.867,8.005,1201.333,91.0,1.263,12.25
https://m.kaskus.co.id/home,20.273,5.712,2112.333,142.667,2.736,17.719
https://m.kenh14.vn/,30.001,5.272,2398.0,165.0,2.997,28.0
https://m.kilimall.co.ke/,8.09,5.153,545.0,60.0,1.307,6.219
https://m.soha.vn/,11.508,3.85,897.667,77.667,2.684,10.251
https://m.thuvienphapluat.vn/,7.306,3.77,688.0,48.667,3.512,5.507
https://mb.com.ph/,21.046,10.769,2852.0,64.333,3.793,19.755
https://mcit.gov.eg/,11.674,4.941,154.0,56.0,4.833,10.871
https://mena.org.eg/,17.621,5.569,2079.0,134.667,2.578,17.025
https://metropolitanschool.edu.eg/en/,7.537,4.27,3726.0,117.333,2.568,6.66
https://mobile.bravobet.et/,8.668,0.0,404.667,15.333,11.011,1.157
https://mod.gov.mm/,3.555,1.743,55.0,7.333,1.342,1.199
https://moe.gov.et/,12.793,3.591,3168.0,95.0,2.641,5.103
https://moh.gov.mm/,15.668,3.159,3725.667,68.667,2.748,13.336
