URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,11.563,2.739,1505.333,52.0,2.558,6.993
https://66law.cn/,3.642,2.663,7.333,2.667,2.704,1.602
https://adfoc.us/,5.044,3.123,269.0,41.0,2.964,4.753
https://afad.gov.tr/,9.678,6.702,2560.667,103.0,5.617,8.941
https://allabout.co.jp/,31.94,10.03,2299.667,302.0,3.786,24.608
https://ameblo.jp/,9.33,6.255,851.0,40.667,3.561,6.241
https://anilist.co/,28.497,7.156,1517.0,323.0,7.159,9.918
https://assets.nhs.uk/,2.032,1.76,1.0,2.0,1.658,1.578
https://atwiki.jp/,10.436,4.683,722.333,55.333,4.275,6.665
https://audius.co/,37.807,32.531,21409.667,96.333,31.827,36.275
https://autoteka.ru/,31.445,11.936,5433.333,112.0,3.827,24.285
https://azbyka.ru/,6.689,4.659,291.0,33.0,4.594,4.707
https://bambooclothing.co.uk/,123.301,17.296,36323.667,466.667,6.597,0.0
https://band.us/home,6.979,5.569,1780.0,31.0,5.575,6.395
https://bb.com.br/pbb/,6.048,0.0,4.0,4.0,4.601,5.61
https://biwork.ru/,17.342,6.258,2229.667,115.667,6.23,10.951
https://bkm.com.tr/,5.494,4.236,971.333,41.333,3.284,5.204
https://brunch.co.kr/,2.236,0.0,17.0,2.0,,1.516
https://bubbl.us/,7.612,3.329,787.0,35.0,2.201,6.119
https://businesstech.co.za/,4.107,4.029,55.0,6.0,4.076,4.012
https://buyabattery.co.uk/,11.371,8.457,3686.0,105.0,5.779,10.045
https://carrd.co/,4.476,3.099,687.667,19.0,2.335,2.968
https://chsi.com.cn/,119.715,0.0,1375.333,140.667,,119.593
https://clutch.co/,12.436,3.655,769.0,39.667,3.162,8.451
https://convertio.co/,8.414,2.876,860.0,23.667,2.82,6.539
https://coolors.co/,17.177,16.524,2370.0,40.333,2.794,5.436
https://ctonline.mx/,22.197,12.643,13406.333,260.0,5.492,19.35
https://danbooru.donmai.us/,7.645,6.131,951.0,36.333,5.785,6.601
https://decrypt.co/,43.707,9.729,2321.667,344.0,8.568,40.104
https://dergipark.org.tr/en/,10.96,5.779,3851.0,71.0,5.213,9.816
https://dns-shop.ru/,3.997,2.478,1.0,3.0,2.523,2.221
https://dzen.ru/,120.113,0.0,551.333,580.667,119.951,120.051
https://edomex.gob.mx/,10.801,7.27,7021.667,130.333,3.957,9.157
https://electrek.co/,14.099,5.253,13113.0,59.0,4.715,10.041
https://elisdn.ru/,5.825,2.966,210.0,22.0,2.997,5.603
https://emisoras.com.mx/,15.129,4.617,745.667,134.667,3.927,10.13
https://enabiz.gov.tr/,16.459,6.53,4240.0,54.0,3.738,14.206
https://erothots.co/en/yzt,13.815,3.59,1463.0,44.0,2.804,9.672
https://etoland.co.kr/plugin/mobile/,12.175,4.603,1896.667,98.0,4.33,9.034
https://ewn.co.za/,12.623,5.048,604.0,39.0,2.424,4.036
https://exblog.jp/,16.197,5.823,3164.667,106.333,3.997,9.294
https://flic.kr/,6.179,2.799,381.0,10.0,2.412,3.532
https://fm-base.co.uk/,53.916,4.442,1945.667,434.667,3.27,28.597
https://follow.it/intro,23.266,13.194,1976.0,218.667,12.0,13.237
https://g.pconline.com.cn/,23.754,18.617,786.667,49.333,13.599,22.071
https://game8.jp/,34.677,7.535,7318.333,434.333,3.868,29.791
https://gamewith.jp/,16.826,6.111,1822.0,82.333,5.167,15.577
https://garanteprivacy.it/,7.709,4.461,3343.667,86.667,4.092,6.977
https://gbiz-id.go.jp/top/,20.747,7.272,2114.333,78.333,4.813,16.726
https://geolsoc.org.uk/,9.469,6.635,1431.0,169.0,4.569,8.806
https://gmw.cn/,11.894,10.452,2551.333,137.333,,11.259
https://healthefx.us/,8.984,5.719,8750.0,37.0,3.8,7.753
https://heraldodemexico.com.mx/,43.681,6.806,5780.0,348.0,5.94,42.571
https://hh.ru/,21.526,6.197,1037.333,125.0,2.991,18.415
https://hidakaya.hiday.co.jp/,37.826,13.057,3460.333,177.333,4.173,35.085
https://hmail.hanyang.ac.kr/mobile/mobileIndex.ds,5.008,3.828,171.0,16.0,3.698,3.682
https://huggingface.co/,8.331,2.881,823.0,44.0,2.929,5.091
https://ico.org.uk/,4.147,4.441,162.0,11.667,2.987,3.288
https://inegi.org.mx/,6.368,3.45,818.667,49.667,2.537,5.441
https://ipn.mx/,2.763,2.426,0.0,2.0,2.474,2.383
https://jornada.com.mx/,11.25,6.6,1136.333,71.0,5.457,9.576
https://justpaste.it/,8.002,5.177,968.0,28.0,2.681,5.484
https://kahoot.it/,18.753,17.781,1307.0,14.0,17.775,18.077
https://ktun.edu.tr/,16.225,8.636,9730.667,44.667,4.047,14.505
https://liveapps.us/,4.316,3.225,261.0,20.0,3.022,3.371
https://m.360.cn/,9.885,4.705,568.667,35.667,2.821,7.543
https://m.acfun.cn/,25.077,9.795,8096.667,142.0,3.544,9.695
https://m.auction.co.kr/,125.316,28.737,1992.333,145.0,3.939,0.0
https://m.autohome.com.cn/,39.558,9.509,819.667,153.0,8.78,20.315
https://m.avito.ru/,37.372,4.793,2063.667,152.667,4.645,15.051
https://m.bild.de/,26.236,11.895,8134.667,207.333,6.464,22.129
https://m.bobaedream.co.kr/,14.826,6.943,4515.333,89.333,5.927,12.288
https://m.bunjang.co.kr/,15.2,8.243,2999.0,112.0,5.397,14.747
https://m.caocaokeji.cn/,12.229,9.27,3264.333,20.333,3.128,8.616
https://m.edaily.co.kr/,6.367,5.098,947.0,37.333,3.075,5.274
https://m.focus.de/,12.463,5.889,978.0,57.0,2.598,11.292
https://m.gmarket.co.kr/,21.258,12.147,5044.667,121.0,4.463,14.721
https://m.inven.co.kr/,9.498,3.955,671.0,60.333,3.968,8.223
https://m.jobkorea.co.kr/,30.2,15.205,3517.0,293.667,4.172,13.831
https://m.khan.co.kr/,19.292,6.715,3088.333,113.333,4.363,17.264
https://m.koreatimes.co.kr/pages/main.asp,14.9,9.673,3666.0,157.0,5.811,13.193
https://m.lenovo.com.cn/,10.593,7.755,5321.0,77.0,4.013,0.0
https://m.lenta.ru/,19.169,5.228,1029.0,133.333,4.886,12.629
https://m.mt.co.kr/renew/,20.329,9.761,2086.667,136.333,6.751,16.015
https://m.news1.kr/,17.615,9.689,9482.333,129.333,5.49,14.783
https://m.ok.ru/,8.889,3.905,781.0,109.667,3.612,7.349
https://m.ppomppu.co.kr/new/index.php,12.08,4.337,1023.667,101.333,4.045,8.136
https://m.sabah.com.tr/,19.561,4.696,1612.0,140.333,3.45,13.322
https://m.saramin.co.kr/,17.546,9.236,2092.0,87.0,7.64,9.639
https://m.thepaper.cn/,4.583,13.467,798.667,36.667,2.679,2.827
https://m.weibo.cn/,10.864,6.269,1144.333,73.667,3.488,9.032
https://mail.ru/,10.446,3.923,831.667,111.667,3.66,8.493
https://makeshop.co.kr/newmakeshop/m_front/index.html,12.444,4.705,5619.0,115.0,2.718,11.684
https://manap.jp/,16.078,8.122,1073.333,44.0,4.517,6.383
https://mande.co.uk/,9.52,4.737,1218.667,55.0,3.252,8.56
https://meb.gov.tr/,11.094,9.565,5229.333,116.333,2.196,10.22
https://mediasetinfinity.mediaset.it/,49.235,32.909,5551.667,100.667,3.842,38.692
https://metro.co.uk/,23.461,2.56,1773.333,196.0,2.418,19.609
https://migrantmedia.ru/,4.924,4.94,49.0,5.0,4.988,4.924
https://mixdrop.co/,7.615,6.52,327.0,30.0,5.671,6.701
https://mobile.comprasparaguai.com.br/,10.912,7.054,1509.0,91.0,3.667,10.457
https://mybroadband.co.za/,4.36,4.281,58.0,6.0,4.325,4.264
https://nationallottery.co.za/,36.493,20.676,3504.667,186.0,7.864,24.689
https://nautil.us/,17.698,9.201,3837.0,215.333,6.932,16.343
https://nethouse.ru/,10.974,3.814,1620.667,50.667,3.181,9.226
https://nsfas.org.za/content/,17.136,18.618,7722.0,57.0,7.386,16.318
https://nts.go.kr/,8.018,6.695,1371.667,111.667,6.351,7.388
https://o2careers.co.uk/,11.479,4.898,1235.0,62.0,2.397,10.454
https://ozon.ru/,3.694,3.641,58.0,6.0,3.685,3.616
https://parisunited.fr/,40.313,6.538,2998.0,350.0,4.003,25.908
https://personal.nedbank.co.za/home.html,17.034,10.747,2231.667,115.0,10.332,15.823
https://pikabu.ru/,23.434,12.14,2153.0,71.0,10.222,18.516
https://portal.fgv.br/,14.761,10.134,4095.667,82.667,9.817,13.019
https://poste.it/,88.124,34.392,7307.333,1719.333,4.109,8.551
https://poweroutage.us/,9.582,4.391,764.0,24.0,2.744,8.781
https://primewire.mx/,35.735,3.016,462.333,19.667,2.962,0.0
https://quark.cn/,13.856,5.063,1138.0,169.667,4.143,5.832
https://r01.ru/,5.191,3.738,425.0,47.0,3.284,4.789
https://rare.us/,26.421,4.045,2841.667,209.333,1.902,18.41
https://registro.br/,6.873,3.234,607.333,37.333,2.638,3.472
https://restless.co.uk/,16.525,10.777,2254.0,133.333,3.318,13.767
https://ria.ru/,16.644,5.612,2956.333,154.333,4.308,13.575
https://rocketreach.co/,23.33,5.9,3956.0,143.667,3.756,15.646
https://rs.sakura.ad.jp/,11.639,6.784,2194.667,118.0,6.847,9.955
https://ruskline.ru/,16.165,8.332,2711.0,96.0,2.295,12.556
https://samplicio.us/Samplicio.html,1.487,1.212,84.0,5.0,1.198,1.148
https://sarsefiling.co.za/,4.623,3.492,429.0,24.0,3.196,4.146
https://sarugby.co.za/,12.842,4.954,11964.0,110.0,3.54,11.239
https://sbis.ru/,15.258,7.761,1975.333,179.667,4.718,14.495
https://sgk.gov.tr/,13.081,9.169,9408.0,86.0,4.187,11.764
https://sina.cn/,23.623,13.093,3460.667,127.667,11.899,17.233
https://smartedu.cn/,12.61,8.546,4066.667,70.0,6.973,12.029
https://sns.tdx.com.cn/site/tdx_sns/page_index.html,23.459,15.991,1581.0,62.0,5.566,15.936
https://sp.nicovideo.jp/,19.239,12.132,1286.0,81.333,6.146,14.565
https://sportrbc.ru/,8.895,5.245,946.333,62.333,3.913,7.29
https://srsly.ru/,7.955,3.641,5529.667,47.667,3.477,6.559
https://sso.acesso.gov.br/login,2.616,0.0,2.0,2.0,,2.084
https://supertela.co/,6.07,3.673,381.0,94.333,,5.855
https://suumo.jp/sp/,87.883,5.858,3745.667,1820.0,3.837,8.176
https://t.co/,2.178,1.257,2.0,3.0,1.303,1.065
https://tass.ru/,18.944,7.927,8065.667,89.667,2.839,14.803
https://tec.mx/es,38.46,26.068,6100.333,363.333,5.018,29.221
https://tecmilenio.mx/es,50.389,40.324,5582.667,254.0,7.997,44.346
https://thelastgame.ru/,7.411,4.524,861.667,43.667,3.59,6.827
https://tplusgroup.ru/,1.998,0.0,0.0,2.0,1.77,1.689
https://uct.ac.za/,120.646,5.371,7258.667,3139.333,5.024,12.593
https://udea.edu.co/wps/portal/udea/web/inicio/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zi_QJNXQ2NnA18_D2NXQ0CLf1MA4zdPY1MzI31wwkpiAJKG-AAjgZA_VFgJRaWzkaGjiYGPgbehqYGjoGuAX4h_s4BLl5GUAV4zCjIjTDIdFRUBAC3KPbO/dz/d5/L2dBISEvZ0FBIS9nQSEh/,19.07,5.402,2273.333,76.333,5.246,13.43
https://udg.mx/,10.664,8.164,2587.333,186.333,6.394,10.177
https://ufmg.br/,11.019,7.062,5768.0,74.0,4.525,10.077
https://ukzn.ac.za/,42.757,30.941,4596.667,151.333,6.601,24.951
https://uni-goettingen.de/,7.223,5.255,5090.333,55.333,4.857,6.262
https://usal.es/,89.836,30.928,20819.667,308.667,3.741,30.152
https://uteka.ru/,11.935,5.94,902.0,80.0,5.74,7.024
https://utel.edu.mx/,28.32,13.546,2685.0,106.0,3.566,24.583
https://uyap.gov.tr/,6.868,4.379,687.333,44.333,3.513,5.761
https://verwaltung.bund.de/,3.255,2.622,540.0,28.333,2.612,3.003
https://vine.co/,5.009,2.924,250.333,12.333,2.908,3.638
https://weblio.jp/,4.973,3.869,115.333,11.333,3.8,3.791
https://whos.amung.us/,6.01,6.794,1868.0,61.0,3.812,5.024
https://wikiwiki.jp/,14.87,2.89,4469.333,64.333,2.346,8.832
https://wiza.co/,18.017,3.7,2333.333,80.0,3.157,12.374
https://www.12306.cn/index/,27.548,18.212,6714.0,93.333,3.965,18.972
https://www.20minutes.fr/,48.777,3.872,2293.333,455.0,2.773,38.5
https://www.20minutos.es/,18.542,2.741,2701.667,125.0,2.801,12.376
https://www.360doc.cn/index.html,14.836,8.422,1353.333,84.333,3.201,13.4
https://www.52pojie.cn/,11.854,7.055,218.667,31.667,6.674,11.301
https://www.9game.cn/,119.042,16.28,363.667,79.333,15.112,0.0
https://www.about.us/,14.8,7.923,3910.333,98.0,3.41,11.691
https://www.ac-versailles.fr/,16.629,8.215,2417.333,89.333,2.674,7.049
https://www.aldi.us/,13.497,7.034,1819.0,109.333,7.046,12.245
https://www.altcointrader.co.za/,120.333,4.397,2241.0,2592.333,3.741,9.204
https://www.americanas.com.br/,8.356,4.159,501.667,14.333,3.693,5.871
https://www.ansa.it/,22.05,8.242,2286.333,129.667,3.552,14.483
https://www.arag.de/,8.186,6.707,911.333,37.667,3.735,5.153
https://www.auchan.fr/,14.668,9.293,2501.0,171.333,2.501,12.635
https://www.bahn.de/,12.536,4.677,956.333,67.0,2.294,10.665
https://www.bark.us/,13.714,7.535,2025.0,113.333,4.505,13.439
https://www.bbc.co.uk/,36.411,11.717,2166.333,204.0,16.104,33.116
