URL,plt,lh_si,pagesize,numreq,fcp,domC
https://1x-bet.in/en,4.408,4.41,110.0,19.0,4.452,4.278
https://1xbet.cd/,28.208,14.877,4930.333,138.0,5.548,9.574
https://1xbet.et/en,24.305,17.645,3408.667,111.667,7.123,11.379
https://2b.com.eg/ar/,45.036,29.337,5225.333,487.333,6.451,31.502
https://7sur7.cd/,16.786,7.776,1871.0,83.333,4.174,8.087
https://actu7.cd/,16.572,10.009,2216.333,71.667,5.101,12.788
https://affilio.ir/,14.236,5.902,1235.0,69.667,3.439,13.174
https://ahram.org.eg/,34.691,10.097,3207.333,304.667,5.177,24.578
https://ait.ac.th/,5.858,4.47,2155.0,46.0,2.94,4.297
https://aleqaria.com.eg/,22.311,8.2,2568.0,199.667,5.52,8.179
https://alexu.edu.eg/,12.661,6.676,18381.667,105.667,4.862,11.406
https://alzahra.ac.ir/,12.31,7.455,5272.0,114.0,3.82,11.537
https://amharabank.com.et/,17.148,6.359,1897.667,52.0,6.38,2.928
https://amharacoc.gov.et/,3.474,3.027,68.0,28.0,2.912,3.006
https://amharajusticetraining.gov.et/,5.132,4.739,733.0,35.0,4.242,4.31
https://aptus.co.tz/,3.958,3.197,545.0,44.0,3.15,3.278
https://baemin.vn/,8.878,3.929,2069.0,61.0,3.107,6.874
https://bama.ir/,14.117,4.896,2050.667,69.333,4.087,9.157
https://bangladesh.gov.bd/index.php,75.381,10.271,7319.333,239.333,8.582,54.764
https://bazeuniversity.edu.ng/,30.359,11.383,18420.667,118.0,6.168,26.585
https://bdris.gov.bd/home,9.712,9.289,601.0,23.0,8.992,9.396
https://betika.et/et/mobile/,19.665,8.835,11966.0,81.0,2.319,18.607
https://betwinner.cd/en,5.477,4.184,100.0,19.0,4.201,5.265
https://biashara.co.ke/,5.211,5.416,50.0,6.0,4.619,5.211
https://bri.co.id/,6.797,6.351,3134.333,91.667,5.546,6.527
https://businessmirror.com.ph/,66.49,12.363,3479.333,406.333,7.963,25.509
https://buypower.ng/,20.936,4.744,2204.0,104.333,3.34,7.99
