URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,11.143,2.73,870.333,51.333,2.576,6.367
https://66law.cn/,2.307,0.661,7.333,2.667,0.712,0.626
https://adfoc.us/,3.653,2.2,224.0,41.0,2.088,3.403
https://afad.gov.tr/,7.853,5.011,1649.333,94.333,4.413,7.517
https://allabout.co.jp/,24.738,6.976,1754.0,227.333,2.731,18.25
https://ameblo.jp/,8.407,5.252,475.333,35.333,2.629,5.349
https://anilist.co/,27.716,6.206,1483.667,309.333,6.201,9.296
https://assets.nhs.uk/,2.017,1.518,1.0,2.0,1.499,1.415
https://atwiki.jp/,8.684,3.536,722.0,55.0,2.975,5.19
https://audius.co/,40.968,28.063,12571.0,99.333,28.116,37.433
https://autoteka.ru/,27.998,10.239,3557.0,113.0,3.144,19.597
https://azbyka.ru/,2.834,1.558,291.0,33.0,1.301,1.546
https://bambooclothing.co.uk/,125.187,16.966,36673.667,467.333,4.565,0.0
https://band.us/home,6.67,5.014,1332.0,30.0,5.017,6.346
https://bb.com.br/pbb/,3.546,0.0,4.0,4.0,2.162,3.008
https://biwork.ru/,13.786,3.528,2188.0,116.333,2.515,7.535
https://bkm.com.tr/,3.974,3.126,618.0,42.333,2.19,3.675
https://brunch.co.kr/,2.627,0.0,17.0,2.0,,1.039
https://bubbl.us/,10.607,3.588,717.0,35.0,2.018,8.699
https://businesstech.co.za/,2.211,2.13,55.0,6.0,2.175,2.118
https://buyabattery.co.uk/,10.372,7.355,1949.0,105.0,4.392,9.724
https://carrd.co/,3.375,2.548,417.667,19.0,1.678,2.691
https://chsi.com.cn/,107.731,0.0,1230.0,124.667,,107.558
https://clutch.co/,8.003,2.144,769.0,39.0,1.62,5.996
https://convertio.co/,7.591,1.478,870.0,25.333,1.44,5.164
https://coolors.co/,15.837,13.644,2341.0,40.667,2.47,4.005
https://ctonline.mx/,21.291,11.87,3770.0,261.0,4.339,16.763
https://danbooru.donmai.us/,7.607,6.21,819.0,36.0,5.99,6.687
https://decrypt.co/,53.825,8.768,2280.0,368.333,7.772,28.052
https://dergipark.org.tr/en/,10.577,2.867,3114.0,71.0,2.223,9.635
https://dns-shop.ru/,2.656,0.726,1.0,3.0,0.773,0.687
https://dzen.ru/,120.148,0.0,451.0,686.667,119.533,119.903
https://edomex.gob.mx/,9.997,6.276,4332.0,130.0,4.008,8.999
https://electrek.co/,11.355,2.987,13036.0,59.0,2.445,7.95
https://elisdn.ru/,5.051,2.386,200.333,22.333,2.398,4.675
https://emisoras.com.mx/,13.02,3.617,741.333,134.333,3.021,8.859
https://enabiz.gov.tr/,14.511,5.213,4210.0,54.0,2.745,12.396
https://erothots.co/en/yzt,13.987,4.57,1372.0,44.0,3.785,10.151
https://etoland.co.kr/plugin/mobile/,11.295,4.379,1860.667,97.0,4.224,8.516
https://ewn.co.za/,10.123,3.316,574.0,39.0,1.295,2.802
https://exblog.jp/,16.068,5.154,2608.333,106.333,3.758,9.931
https://flic.kr/,6.243,3.212,382.0,10.0,2.847,4.009
https://fm-base.co.uk/,49.292,5.374,1767.333,387.333,3.988,39.147
https://follow.it/intro,11.999,7.704,309.0,29.0,6.38,7.017
https://g.pconline.com.cn/,12.151,9.19,302.0,50.0,6.972,11.125
https://game8.jp/,32.893,7.55,2403.333,456.333,4.44,26.644
https://gamewith.jp/,16.799,8.234,2250.667,81.0,4.725,15.041
https://garanteprivacy.it/,11.229,2.383,2331.0,86.333,2.097,10.717
https://gbiz-id.go.jp/top/,20.575,5.582,2013.0,78.0,2.542,16.33
https://geolsoc.org.uk/,8.357,4.947,786.0,169.0,3.096,6.825
https://gmw.cn/,13.409,7.501,1833.0,206.0,,11.695
https://healthefx.us/,6.503,3.953,1073.0,37.667,2.828,5.966
https://heraldodemexico.com.mx/,40.352,4.223,5200.667,333.333,3.59,39.852
https://hh.ru/,16.296,3.839,728.333,125.0,1.951,14.393
https://hidakaya.hiday.co.jp/,38.68,11.607,2853.667,179.667,2.502,33.113
https://hmail.hanyang.ac.kr/mobile/mobileIndex.ds,5.773,4.703,171.0,16.0,4.539,5.071
https://huggingface.co/,8.582,2.657,556.0,44.0,2.634,5.116
https://ico.org.uk/,3.288,4.008,162.0,12.0,1.964,2.597
https://inegi.org.mx/,4.796,2.444,474.0,50.0,2.056,3.959
https://ipn.mx/,1.421,1.094,0.0,2.0,1.142,1.055
https://jornada.com.mx/,9.218,4.285,1041.333,70.667,3.022,7.457
https://justpaste.it/,6.034,3.44,968.0,28.0,1.18,3.904
https://kahoot.it/,19.032,18.278,1302.0,13.333,18.28,18.596
https://ktun.edu.tr/,10.263,6.685,4842.333,44.333,3.121,8.674
https://liveapps.us/,2.844,2.269,168.0,20.0,2.072,2.38
https://m.360.cn/,8.12,3.896,182.0,35.0,2.284,6.089
https://m.acfun.cn/,19.651,7.429,1021.333,44.667,2.529,15.501
https://m.auction.co.kr/,126.444,29.352,1069.667,146.667,3.8,42.359
https://m.autohome.com.cn/,36.246,4.096,694.667,153.667,3.624,18.046
https://m.avito.ru/,34.392,3.773,1904.0,152.333,2.424,14.417
https://m.bild.de/,29.399,12.137,3860.333,194.333,5.995,21.621
https://m.bobaedream.co.kr/,12.181,5.552,1832.333,89.333,4.342,9.268
https://m.bunjang.co.kr/,14.287,7.005,2421.0,112.0,4.011,13.803
https://m.caocaokeji.cn/,56.121,55.875,2901.667,20.667,2.787,54.666
https://m.edaily.co.kr/,6.046,4.15,555.0,37.667,2.418,3.392
https://m.focus.de/,12.377,6.391,994.333,56.667,2.363,11.456
https://m.gmarket.co.kr/,28.065,14.693,4574.333,121.0,4.89,26.081
https://m.inven.co.kr/,7.643,3.74,657.0,59.667,3.764,6.916
https://m.jobkorea.co.kr/,25.998,14.203,3149.333,292.0,2.942,12.987
https://m.khan.co.kr/,18.109,6.613,3083.667,115.0,4.428,17.022
https://m.koreatimes.co.kr/pages/main.asp,12.796,8.147,3040.333,151.333,4.89,10.732
https://m.lenovo.com.cn/,8.286,5.916,1208.667,77.667,2.504,0.0
https://m.lenta.ru/,13.654,4.006,952.333,110.667,3.67,10.185
https://m.mt.co.kr/renew/,16.967,8.257,1296.0,129.333,5.3,11.887
https://m.news1.kr/,12.523,6.733,4014.667,130.0,3.471,11.222
https://m.ok.ru/,7.569,2.609,702.0,112.0,2.279,5.558
https://m.ppomppu.co.kr/new/index.php,10.827,3.888,798.0,100.667,3.555,7.282
https://m.sabah.com.tr/,17.017,3.819,1352.667,137.667,2.69,13.071
https://m.saramin.co.kr/,12.799,4.273,1284.333,88.0,2.749,5.075
https://m.thepaper.cn/,14.893,13.272,654.667,37.0,2.496,13.513
https://m.weibo.cn/,9.099,5.216,1023.333,74.667,2.521,6.781
https://mail.ru/,10.127,3.265,578.333,113.333,3.071,8.017
https://makeshop.co.kr/newmakeshop/m_front/index.html,9.634,3.478,2825.0,115.667,1.978,8.704
https://manap.jp/,11.43,4.333,863.0,43.333,3.189,4.7
https://mande.co.uk/,9.041,5.068,1623.0,55.0,3.392,8.281
https://meb.gov.tr/,9.231,7.797,2907.667,116.667,1.574,8.217
https://mediasetinfinity.mediaset.it/,44.387,29.184,4872.667,99.333,3.581,34.314
https://metro.co.uk/,21.659,2.855,1756.0,178.667,2.476,17.182
https://migrantmedia.ru/,3.855,3.226,49.0,5.0,3.217,3.855
https://mixdrop.co/,3.429,2.66,324.0,30.0,1.736,2.546
https://mobile.comprasparaguai.com.br/,8.079,3.948,1060.0,90.0,1.475,7.626
https://mybroadband.co.za/,3.07,2.984,58.0,6.0,3.031,2.998
https://nationallottery.co.za/,28.951,15.842,2213.667,187.667,7.345,20.941
https://nautil.us/,18.433,7.574,2009.0,207.0,5.273,15.452
https://nethouse.ru/,10.38,2.54,1013.0,51.667,2.468,7.526
https://nsfas.org.za/content/,16.208,14.573,2602.0,57.0,7.297,15.534
https://nts.go.kr/,6.332,4.547,1026.667,111.667,4.103,5.759
https://o2careers.co.uk/,9.789,3.367,863.0,62.0,1.218,8.592
https://ozon.ru/,2.435,2.353,58.0,6.0,2.399,2.344
https://parisunited.fr/,35.105,5.276,2548.0,340.667,3.826,17.297
https://personal.nedbank.co.za/home.html,21.404,7.113,1689.0,115.333,5.75,19.718
https://pikabu.ru/,22.506,8.874,1784.333,71.333,8.049,16.598
https://portal.fgv.br/,14.684,9.198,1938.667,83.333,8.742,12.564
https://poste.it/,120.302,16.204,1655.333,2320.333,5.817,0.0
https://poweroutage.us/,9.345,3.569,763.0,24.0,1.651,8.269
https://primewire.mx/,38.234,2.802,429.667,19.333,2.779,0.0
https://quark.cn/,12.024,3.312,1126.333,168.0,2.319,2.396
https://r01.ru/,3.427,1.882,283.333,46.333,1.534,2.872
https://rare.us/,24.756,6.884,2288.0,201.667,3.418,17.527
https://registro.br/,6.42,2.912,611.0,37.0,2.013,4.117
https://restless.co.uk/,14.173,9.362,1970.0,133.333,3.183,12.279
https://ria.ru/,16.056,4.81,2967.333,156.0,3.518,12.799
https://rocketreach.co/,19.212,5.296,3640.667,142.667,2.426,15.006
https://rs.sakura.ad.jp/,11.824,6.11,1118.333,115.667,6.157,10.004
https://ruskline.ru/,18.573,8.59,2622.667,98.0,1.599,13.3
https://samplicio.us/Samplicio.html,1.284,1.004,40.0,5.0,1.023,0.968
https://sarsefiling.co.za/,1.652,1.638,141.0,24.0,1.274,1.532
https://sarugby.co.za/,10.71,3.604,4821.0,110.0,2.186,9.442
https://sbis.ru/,18.025,8.113,1472.667,179.667,5.512,17.082
https://sgk.gov.tr/,10.609,5.679,4031.333,86.333,2.061,10.012
https://sina.cn/,24.197,12.733,2455.667,125.667,11.188,12.916
https://smartedu.cn/,13.755,7.077,3261.333,69.667,5.162,13.369
https://sns.tdx.com.cn/site/tdx_sns/page_index.html,22.303,14.27,1529.333,62.333,3.726,14.322
https://sp.nicovideo.jp/,17.82,10.763,1265.667,81.0,5.957,16.078
https://sportrbc.ru/,5.942,4.371,945.333,61.0,1.963,4.589
https://srsly.ru/,11.135,1.892,2897.333,48.333,1.708,9.847
https://sso.acesso.gov.br/login,2.139,0.0,2.0,2.0,,1.675
https://supertela.co/,4.809,4.163,860.667,134.333,,4.618
