URL,plt,lh_si,pagesize,numreq,fcp,domC
https://1x-bet.in/en,4.917,3.187,110.0,19.0,3.235,4.72
https://1xbet.cd/,29.458,15.212,4482.0,137.667,5.204,10.25
https://1xbet.et/en,19.272,13.856,3133.333,110.667,4.756,8.246
https://2b.com.eg/ar/,43.153,31.755,2256.0,487.0,4.45,34.1
https://7sur7.cd/,19.639,7.025,2038.0,84.333,3.234,6.556
https://actu7.cd/,15.597,8.623,1842.0,71.0,4.135,12.412
https://affilio.ir/,13.18,5.092,1192.667,72.0,2.559,12.401
https://ahram.org.eg/,42.224,10.497,3746.0,391.667,4.198,27.108
https://ait.ac.th/,6.065,5.84,1637.667,46.667,2.541,4.237
https://aleqaria.com.eg/,21.741,5.34,2274.333,200.667,2.448,7.225
https://alexu.edu.eg/,22.557,5.621,16333.333,105.667,3.916,22.004
https://alzahra.ac.ir/,9.202,5.965,4621.0,114.0,2.736,8.63
https://amharabank.com.et/,19.353,6.248,2177.333,52.0,6.184,2.897
https://amharacoc.gov.et/,2.243,1.575,60.0,28.0,1.407,1.792
https://amharajusticetraining.gov.et/,3.704,3.322,414.0,35.0,2.689,2.995
https://aptus.co.tz/,1.899,1.232,515.0,44.0,1.197,1.449
https://baemin.vn/,7.448,2.969,1930.0,61.0,2.411,6.356
https://bama.ir/,19.362,2.084,1877.0,68.0,1.473,12.886
https://bangladesh.gov.bd/index.php,62.699,9.264,6701.0,234.333,7.551,49.793
https://bazeuniversity.edu.ng/,23.285,8.509,18123.0,113.0,5.359,19.057
https://bdris.gov.bd/home,4.336,4.037,592.0,23.0,3.701,3.954
https://betika.et/et/mobile/,20.912,7.065,2385.0,88.0,1.481,13.988
https://betwinner.cd/en,4.169,3.537,100.0,19.0,3.566,3.963
https://biashara.co.ke/,4.651,4.769,51.0,6.0,3.93,4.651
https://bri.co.id/,9.873,7.306,3093.667,135.667,3.128,9.272
https://businessmirror.com.ph/,75.23,11.559,3238.0,396.667,7.295,26.894
https://buypower.ng/,16.204,4.125,1169.667,83.667,2.782,7.559
https://cabinet.gov.bd/,42.189,7.768,3758.0,140.667,5.939,38.242
https://campusnews.com.ng/,6.221,2.755,763.0,55.0,1.406,4.653
https://capitolnews.co.ke/,6.021,4.201,1072.0,35.0,2.605,4.689
https://carnival.com.bd/,15.062,10.363,2021.667,108.667,3.653,13.653
https://cbeib.com.et/,4.004,3.395,1078.0,24.0,3.13,3.254
https://cellphones.com.vn/,22.615,14.804,2783.333,205.333,3.118,20.338
https://championsbattle.com.mm/,11.103,4.792,941.667,40.667,1.895,10.341
https://cleartax.in/,19.408,2.769,2086.0,130.0,2.43,6.15
https://congo.cd/,7.858,1.076,213.667,20.0,1.124,4.405
https://cop27.eg/,5.443,0.0,260.0,21.333,,3.342
https://cu.edu.eg/ar/Home,9.627,4.909,1027.0,97.0,3.27,9.107
https://daffodilvarsity.edu.bd/,12.279,9.753,5769.0,132.667,1.846,11.617
https://dailypost.ng/,16.305,8.45,1473.0,128.333,3.573,5.1
https://dantri.com.vn/,29.901,5.938,2355.0,192.0,2.342,21.511
https://dbe.com.et/,4.266,3.599,647.0,38.0,2.825,3.767
https://deped.gov.ph/,6.099,4.652,1239.667,102.0,2.699,5.895
https://dghs.gov.bd/,38.769,13.107,4844.667,155.333,7.237,36.857
https://dgip.gov.pk/,9.446,4.626,6195.667,103.333,3.277,6.309
https://dhakaeducationboard.gov.bd/,5.783,3.629,1095.667,49.667,2.081,5.146
https://dica.gov.mm/,9.399,9.853,1484.0,63.0,5.619,8.164
https://digiskills.pk/,9.262,7.102,2440.0,77.0,2.157,8.16
https://divar.ir/,22.33,8.846,890.333,32.667,3.759,21.123
https://doh.gov.ph/,39.71,3.488,4523.667,86.667,2.476,39.046
https://drcactu.cd/,8.605,6.455,1374.667,41.667,5.863,7.391
https://dsma.edu.mm/,3.375,2.138,469.0,16.0,1.925,2.161
https://eaes.edu.et/,5.912,2.753,968.0,27.0,2.617,5.608
https://educationnewshub.co.ke/,2.217,1.09,74.0,6.0,1.126,1.333
https://ega.go.tz/,6.614,2.99,9170.333,115.333,2.026,5.883
https://egx.com.eg/ar/homepage.aspx,8.445,3.147,31.667,37.333,3.035,7.356
https://egymonuments.gov.eg/,29.808,24.842,7056.667,111.333,2.252,27.731
https://eijssa.journals.ekb.eg/,5.591,2.161,453.0,41.0,1.801,4.605
https://emalls.ir/,7.091,2.719,305.0,24.333,2.411,4.171
https://emis.gov.eg/,6.713,3.365,458.667,53.667,2.44,5.741
https://ethernet.edu.et/,19.611,3.213,2731.333,127.333,2.565,14.702
https://etrade.gov.et/,6.956,6.126,737.0,29.0,5.778,6.17
https://exo.ir/,14.844,6.569,647.667,67.667,2.623,12.628
https://farangmart.co.th/,15.506,3.268,1231.333,136.333,1.974,6.13
https://fbr.gov.pk/,7.635,2.74,1618.333,69.0,1.665,7.387
https://fbtsarl.cd/fr/,3.841,2.859,734.333,34.333,2.635,3.07
https://fiber.3bb.co.th/,119.437,0.0,573.333,123.667,,118.153
https://fidelitybank.ng/,0.841,0.567,11.0,5.667,0.611,0.541
https://findaya.co.id/,6.477,2.186,716.333,23.667,1.254,5.481
https://fossee.in/,8.605,4.229,966.667,95.0,3.969,7.091
https://fptshop.com.vn/,29.077,12.24,3117.333,203.667,1.916,17.908
https://freebitco.in/signup/,11.346,10.627,854.0,46.0,6.211,9.927
https://fue.edu.eg/,4.221,3.246,445.0,51.0,2.429,3.546
https://gov.go.tz/,1.911,1.571,0.0,2.0,1.618,1.308
https://groww.in/,14.237,5.699,1117.667,88.0,2.756,12.26
https://guidetothephilippines.ph/,20.968,1.734,1174.667,70.333,1.041,2.358
https://habari.co.tz/,7.345,1.693,1271.0,59.0,1.378,6.089
https://habarileo.co.tz/,11.773,7.874,2858.0,91.667,4.007,10.758
https://hochiminhcity.gov.vn/,40.428,16.88,15066.0,131.0,3.257,39.012
https://home.s.id/,23.007,23.24,1707.0,97.333,12.549,17.479
https://hosting.cd/site/web/,4.509,2.569,441.0,17.333,2.208,3.057
https://hrex.gov.in/,19.875,11.453,3734.333,76.667,8.212,11.369
https://hu.edu.et/,13.517,9.163,4673.0,134.0,4.968,10.118
https://ibps.in/,4.304,3.392,516.0,37.0,3.196,4.208
https://ict.com.mm/,110.882,28.198,3085.333,208.0,2.674,0.0
https://ikco.ir/,118.82,96.832,2437.0,133.0,118.811,118.82
https://immigration.gov.ng/,10.923,2.666,2848.667,63.667,2.001,3.36
https://inaproc.id/,7.698,2.112,814.0,34.333,1.662,7.461
https://indiapostgdsonline.gov.in/,3.08,2.465,500.0,12.0,2.418,2.328
https://indihome.co.id/,95.75,32.035,4365.0,251.0,17.64,54.619
https://insa.gov.et/,3.23,1.388,6.0,4.0,1.438,1.331
https://ipb.ac.id/,12.671,7.714,1855.0,64.0,5.545,11.028
https://iprice.ph/,10.614,5.392,543.0,71.0,2.668,7.208
https://jamejamonline.ir/,12.479,6.309,4360.667,182.667,2.669,9.308
https://jang.com.pk/,14.421,4.528,1180.0,89.0,2.717,4.819
https://jiji.com.et/,11.979,3.649,817.0,47.667,3.315,10.316
https://jiji.ng/,14.134,3.499,873.0,52.333,2.606,9.517
https://jobinja.ir/,29.032,4.061,879.667,51.0,2.196,15.978
https://ju.edu.et/,16.926,7.208,3788.0,119.0,3.05,13.803
https://karibu.tz/,9.656,7.792,1594.0,68.0,4.818,7.091
https://kbc.co.ke/,65.934,16.747,11270.667,590.333,3.489,23.428
https://kemendesa.go.id/,3.435,3.846,10225.0,25.333,1.308,2.615
https://kemenkeu.go.id/home,22.212,12.267,4329.667,82.667,5.822,16.05
https://kemkes.go.id/,46.388,7.257,60.667,16.667,2.891,46.354
https://kerala.gov.in/,66.246,63.85,8994.0,132.333,3.812,64.601
https://kickass.cd/,0.626,0.579,11.0,5.0,0.627,0.563
https://kku.ac.th/,10.085,4.278,3180.0,89.333,3.168,9.615
https://komiku.id/,5.947,2.189,264.667,32.0,1.907,5.665
https://kra.go.ke/,10.292,6.734,4389.0,77.0,2.582,8.626
https://lagosstate.gov.ng/,14.602,8.604,4711.0,90.0,4.004,14.229
https://laodong.vn/,120.076,0.0,143.667,862.667,,0.0
https://laproximite.cd/,12.222,6.711,1160.667,60.0,3.751,7.741
https://lautech.edu.ng/,31.027,12.036,3814.0,98.667,2.74,24.854
https://ldtax.gov.bd/,22.905,8.327,904.667,42.0,6.502,20.272
https://leadership.ng/,13.536,3.825,1110.333,107.333,3.779,4.808
https://lged.gov.bd/,48.057,15.679,5705.667,200.333,7.149,38.165
https://licindia.in/,14.475,5.488,5868.0,111.0,3.418,14.032
https://lums.edu.pk/,42.256,5.602,69144.0,148.0,2.301,39.352
https://m.cafef.vn/,13.812,8.218,1194.667,90.333,1.154,11.188
https://m.kaskus.co.id/home,20.755,7.138,2146.333,148.0,3.162,17.399
https://m.kenh14.vn/,22.024,7.693,2932.333,170.0,4.662,20.794
https://m.kilimall.co.ke/,11.005,5.606,731.667,86.0,1.723,6.533
https://m.soha.vn/,12.047,3.81,884.333,76.667,2.772,9.65
https://m.thuvienphapluat.vn/,7.529,3.12,685.0,49.0,3.025,4.848
https://mb.com.ph/,23.028,10.686,2775.333,66.0,3.345,19.282
https://mcit.gov.eg/,9.558,3.16,159.0,56.0,3.074,8.259
https://mena.org.eg/,20.385,5.679,1869.0,134.0,2.396,19.327
https://metropolitanschool.edu.eg/en/,10.512,5.451,3493.333,118.0,3.546,8.092
https://mobile.bravobet.et/,9.123,0.0,404.333,15.0,11.766,1.174
https://mod.gov.mm/,3.726,1.931,55.333,7.667,3.08,2.948
https://moe.gov.et/,11.424,2.545,2999.0,95.0,1.736,3.989
https://moh.gov.mm/,15.042,2.648,3553.0,68.333,2.297,13.762
https://moha.gov.mm/,2.192,0.0,0.0,2.0,1.472,1.396
https://mohs.gov.mm/,14.241,2.806,3390.0,67.667,2.31,12.199
https://momat.cd/,12.605,9.397,1533.333,78.333,2.99,4.581
https://momobil.id/,22.673,5.396,1538.333,58.0,3.559,19.926
https://mor.gov.et/,11.745,1.776,4167.0,45.0,1.799,10.791
https://motc.gov.mm/,39.043,2.17,3479.333,138.333,2.071,34.669
https://mpt.com.mm/mm/,11.722,10.533,1596.667,113.667,5.51,10.88
https://myanmar.gov.mm/,10.264,6.861,4489.0,100.0,4.467,8.865
https://myschool.ng/,9.716,2.554,1096.333,46.333,2.43,2.917
https://mytel.com.mm/,12.792,4.339,5536.333,97.667,3.296,4.379
https://newtv.co.th/,8.949,3.257,645.667,55.333,3.035,8.713
https://nextonline.com.bd/xampp/,3.829,2.588,53.0,14.0,,3.32
https://nld.com.vn/,19.144,4.916,1940.667,159.667,3.485,16.705
https://nnn.ng/,8.752,2.426,401.333,50.333,1.513,2.407
https://nobitex.ir/,17.521,3.013,984.667,51.667,2.051,13.371
https://northerncoalition.or.tz/,4.549,2.045,1518.0,25.0,1.794,3.087
https://nosi.gov.eg/ar/Pages/HomePage/Home.aspx,10.542,10.718,2045.667,90.0,7.911,10.433
https://nou.edu.ng/,14.168,9.513,1209.0,110.0,5.534,12.804
https://oe.cd/,3.575,2.656,113.0,15.0,2.568,2.684
https://ondoctor.com.mm/,9.401,5.402,913.0,66.0,3.236,4.08
https://online.cd/,1.794,1.709,11.0,5.0,1.758,1.705
https://ooredoo.com.mm/portal/en/index,1.072,0.0,1.0,2.0,0.842,0.763
https://open.cd/login.php,3.722,1.871,153.0,28.0,1.914,2.956
https://pagibigfund.gov.ph/,7.695,7.603,4307.0,88.0,4.705,6.778
https://pajak.go.id/,83.787,3.824,413.667,102.0,,82.45
https://parivahan.gov.in/parivahan/,8.462,5.338,998.0,106.0,3.223,7.639
https://payu.in/,11.435,3.656,943.0,70.0,1.908,8.988
https://pc.cd/,1.128,0.0,0.0,2.0,,0.743
https://philnews.ph/,31.218,11.566,2305.667,291.333,4.671,22.991
https://pna.gov.ph/,2.24,2.147,49.0,6.0,2.198,2.135
https://pod.ir/,11.934,1.96,512.0,35.0,1.768,11.397
https://portal.vietcombank.com.vn/Pages/Home.aspx,8.251,5.187,1096.0,151.0,2.329,6.084
https://priceoye.pk/,26.351,12.169,5330.0,122.333,6.268,25.03
https://propakistani.pk/,8.508,5.25,1202.0,92.0,3.935,7.707
https://proton.cd/,7.371,5.974,1439.333,57.333,3.216,6.61
https://publicservice.go.ke/,12.64,4.602,710.667,65.0,4.337,9.304
https://punjab.gov.pk/,5.594,3.278,386.0,61.0,2.464,4.135
https://punjabpolice.gov.pk/,6.249,4.25,951.0,94.0,2.421,4.474
https://republika.co.id/,17.158,2.906,2700.0,76.0,2.927,7.24
https://rubika.ir/,13.2,3.505,1786.0,79.0,2.032,12.31
https://sabasrm.ir/,5.969,4.331,1073.0,20.0,4.313,5.15
https://scpt.cd/corpo/,8.843,5.993,4017.667,93.0,4.899,4.782
https://shmff.gov.eg/wps/portal/MFF/Home/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zizRwtzDwsTAx9LMIMLAwcQ42DDMM8fYwN3M30w1EV-PsGmxo4GvoHBxuZuBu4OxvrRxGj3wAHcDQgTj8eBVH4jQ_Xj0K1AosPCJlRkBsaGmGQ6QgAb0CqJQ!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,119.791,0.0,556.333,120.667,,118.868
https://shop.mtg.com.mm/,6.051,6.329,865.0,62.0,3.718,4.89
https://siamsport.co.th/,114.364,3.902,3085.0,149.0,3.706,0.0
