URL,plt,lh_si,pagesize,numreq,fcp,domC
https://www.esquiremag.ph/?EXP_TYPE=ORG,21.905s,10.680,5897,178,3.258,5.056
https://www.phoneworld.com.pk/?EXP_TYPE=AVIF,9.697s,8.065,858,85,5.629,8.185
https://sportrbc.ru/?EXP_TYPE=WEBP,4.985s,3.803,945,62,1.479,4.641
https://www.onlinejobs.ph/?EXP_TYPE=AVIF,10.421s,2.328,816,67,2.145,2.956
https://kbc.co.ke/?EXP_TYPE=WEBP,120.678s,13.664,13332,872,5.587,0.000
https://www.eldiario.es/?EXP_TYPE=ORG,22.619s,5.412,2814,116,5.192,15.358
https://bb.com.br/pbb/?EXP_TYPE=ORG,7.595s,0.000,4,4,5.850,7.150
https://www.louvre.fr/en?EXP_TYPE=WEBP,9.403s,3.218,516,63,2.574,7.892
https://www.dating.co.tz/?EXP_TYPE=AVIF,1.107s,0.000,4,3,0.745,0.662
https://portal.vietcombank.com.vn/Pages/Home.aspx?EXP_TYPE=WEBP,6.762s,4.093,1096,151,2.179,4.535
https://www.politico.cd/?EXP_TYPE=ORG,120.582s,29.490,10602,326,118.382,0.000
https://www.cinvestav.mx/?EXP_TYPE=WEBP,13.398s,12.162,2546,181,4.329,9.665
https://tamin.ir/?EXP_TYPE=ORG,3.090s,1.954,2,4,1.979,2.877
https://www.midi.gov.et/Amharic/?EXP_TYPE=ORG,7.750s,3.899,3042,65,3.579,4.454
https://momat.cd/?EXP_TYPE=AVIF,14.404s,12.090,1736,78,5.563,7.082
https://carrd.co/?EXP_TYPE=ORG,3.373s,2.462,685,19,1.868,2.322
http://m.todayhumor.co.kr/?EXP_TYPE=WEBP,11.785s,4.189,870,51,4.045,7.861
https://m.avito.ru/?EXP_TYPE=AVIF,34.724s,4.181,1910,154,3.036,13.458
https://gbiz-id.go.jp/top/?EXP_TYPE=WEBP,17.752s,5.117,2013,78,2.485,14.994
https://xiumi.us/?EXP_TYPE=AVIF,21.348s,8.866,3620,33,1.228,21.076
https://www.caliente.mx/?EXP_TYPE=WEBP,10.515s,1.467,642,64,1.344,6.755
https://www.fnb.co.za/?EXP_TYPE=AVIF,12.312s,3.408,1646,92,3.005,11.849
https://ethernet.edu.et/?EXP_TYPE=ORG,17.430s,8.909,3814,127,7.929,9.991
https://sina.cn/?EXP_TYPE=WEBP,17.702s,10.148,2147,126,7.854,12.302
https://unilag.edu.ng/?EXP_TYPE=AVIF,17.965s,4.131,4078,99,3.895,9.154
https://www.tori.ng/?EXP_TYPE=AVIF,16.291s,3.035,951,156,1.245,10.003
https://gbiz-id.go.jp/top/?EXP_TYPE=AVIF,-,-,-,-,-,-
https://businesstech.co.za/?EXP_TYPE=AVIF,2.060s,1.986,55,6,2.028,1.972
https://www.nmbbank.co.tz/?EXP_TYPE=WEBP,119.465s,10.744,3326,202,5.334,13.948
