URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,9.418s,1.815,1059,52,1.545,5.471
http://m.todayhumor.co.kr/,9.548s,1.955,1058,51,1.783,5.586
http://m.todayhumor.co.kr/,10.186s,2.173,1059,52,1.860,6.147
https://1x-bet.in/en,5.969s,3.248,110,19,3.274,5.810
https://1x-bet.in/en,3.264s,2.765,110,19,2.799,3.058
https://1x-bet.in/en,3.060s,2.680,110,19,2.707,2.609
https://1xbet.cd/,23.970s,13.507,4595,137,5.512,9.228
https://1xbet.cd/,30.410s,14.206,4621,139,4.812,9.327
https://1xbet.cd/,30.104s,13.381,4610,138,4.543,8.536
https://1xbet.et/en,17.543s,12.103,2994,109,4.595,7.750
https://1xbet.et/en,19.093s,15.225,2994,109,6.779,10.341
https://1xbet.et/en,17.355s,16.868,1969,65,5.849,9.070
https://2b.com.eg/ar/,42.168s,26.841,2383,488,6.962,28.948
https://2b.com.eg/ar/,49.248s,32.756,2383,489,5.612,37.001
https://2b.com.eg/ar/,43.441s,27.615,2383,489,4.595,29.375
https://66law.cn/,1.330s,0.532,11,3,0.578,0.480
https://66law.cn/,2.857s,0.565,11,3,0.620,0.536
https://66law.cn/,2.486s,0.483,11,3,0.528,0.444
https://7sur7.cd/,22.628s,8.624,2710,84,4.096,7.429
https://7sur7.cd/,9.966s,6.326,907,80,3.079,7.161
https://7sur7.cd/,27.335s,8.339,1809,85,5.680,11.240
https://actu7.cd/,17.376s,8.384,2012,72,4.464,13.844
https://actu7.cd/,13.154s,8.653,1630,73,3.788,8.868
https://actu7.cd/,15.434s,10.933,1630,73,4.096,11.306
https://adfoc.us/,4.747s,4.106,264,41,4.037,4.555
https://adfoc.us/,6.113s,2.860,264,41,2.695,5.910
https://adfoc.us/,6.367s,4.540,264,41,4.313,6.058
https://afad.gov.tr/,9.279s,7.121,2223,117,5.696,8.437
https://afad.gov.tr/,7.897s,5.276,1912,95,4.578,7.053
https://afad.gov.tr/,8.399s,5.017,1911,94,4.396,6.773
https://affilio.ir/,12.210s,6.187,1169,69,2.078,11.945
https://affilio.ir/,12.270s,6.148,1169,69,1.828,11.722
https://affilio.ir/,12.004s,6.199,1170,70,1.696,11.560
https://ahram.org.eg/,45.674s,12.043,4078,395,6.510,25.515
https://ahram.org.eg/,41.264s,13.149,4095,397,4.572,29.823
https://ahram.org.eg/,36.796s,6.957,4066,389,4.411,27.957
https://ait.ac.th/,4.531s,3.143,1745,46,1.412,3.912
https://ait.ac.th/,9.936s,6.865,2077,48,1.946,4.889
https://ait.ac.th/,4.220s,3.385,1745,46,1.979,2.884
https://aleqaria.com.eg/,21.735s,6.854,2320,201,2.479,9.152
https://aleqaria.com.eg/,21.121s,5.403,2319,199,2.777,6.925
https://aleqaria.com.eg/,20.573s,4.690,2322,205,2.162,5.794
https://alexu.edu.eg/,48.489s,6.565,16942,106,2.979,48.061
https://alexu.edu.eg/,9.457s,4.222,16557,105,2.893,9.147
https://alexu.edu.eg/,8.973s,4.657,16350,106,2.870,8.584
https://allabout.co.jp/,29.250s,9.135,1893,268,3.775,19.463
https://allabout.co.jp/,20.709s,7.917,1852,171,2.962,14.131
https://allabout.co.jp/,34.288s,9.653,1900,298,2.779,27.561
https://alzahra.ac.ir/,11.665s,6.243,4995,114,2.395,11.298
https://alzahra.ac.ir/,9.138s,5.666,4995,114,2.412,8.761
https://alzahra.ac.ir/,10.867s,7.288,4995,114,3.712,10.478
https://ameblo.jp/,8.261s,5.661,590,44,2.627,5.520
https://ameblo.jp/,7.736s,4.247,545,35,1.829,4.435
https://ameblo.jp/,8.834s,5.601,589,43,3.146,6.387
https://amharabank.com.et/,15.327s,4.981,2589,52,4.962,1.767
https://amharabank.com.et/,15.507s,5.100,2589,52,5.096,1.807
https://amharabank.com.et/,14.103s,5.246,1317,52,5.229,1.844
https://amharacoc.gov.et/,3.052s,2.383,66,28,2.233,2.497
https://amharacoc.gov.et/,2.257s,1.790,66,28,1.596,1.926
https://amharacoc.gov.et/,4.790s,4.361,66,28,4.280,4.511
https://amharajusticetraining.gov.et/,6.880s,7.139,491,35,5.900,6.370
https://amharajusticetraining.gov.et/,7.209s,6.912,491,35,6.145,6.263
https://amharajusticetraining.gov.et/,3.648s,3.800,492,35,2.594,2.940
https://anilist.co/,35.689s,6.014,1465,337,6.029,8.713
https://anilist.co/,29.082s,6.100,1489,314,6.112,25.228
https://anilist.co/,30.469s,9.927,1495,318,9.945,14.890
https://aptus.co.tz/,2.466s,1.291,528,44,1.199,1.443
https://aptus.co.tz/,2.203s,1.460,528,44,1.379,1.665
