URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,10.190s,2.120,1506,52,1.877,6.047
http://m.todayhumor.co.kr/,13.707s,4.044,1505,53,3.879,8.618
http://m.todayhumor.co.kr/,10.793s,2.053,1505,51,1.917,6.313
https://1x-bet.in/en,4.638s,4.581,110,19,4.616,4.514
https://1x-bet.in/en,4.529s,4.569,110,19,4.611,4.396
https://1x-bet.in/en,4.056s,4.081,110,19,4.129,3.925
https://1xbet.cd/,29.057s,14.424,4940,139,5.145,8.567
https://1xbet.cd/,30.161s,14.216,4927,138,5.621,9.319
https://1xbet.cd/,25.405s,15.992,4924,137,5.878,10.836
https://1xbet.et/en,27.169s,16.587,3700,113,7.431,10.943
https://1xbet.et/en,25.707s,21.674,3242,111,8.562,13.964
https://1xbet.et/en,20.038s,14.674,3284,111,5.377,9.230
https://2b.com.eg/ar/,45.671s,30.052,5224,486,6.945,32.241
https://2b.com.eg/ar/,48.610s,29.033,5226,488,7.363,30.581
https://2b.com.eg/ar/,40.827s,28.927,5226,488,5.046,31.683
https://66law.cn/,3.959s,1.155,11,3,1.195,0.999
https://66law.cn/,2.214s,4.547,0,2,4.586,1.677
https://66law.cn/,4.754s,2.287,11,3,2.332,2.131
https://7sur7.cd/,26.542s,8.595,3074,88,3.895,7.645
https://7sur7.cd/,13.257s,7.773,1270,81,4.663,9.642
https://7sur7.cd/,10.558s,6.960,1269,81,3.963,6.973
https://actu7.cd/,15.167s,10.462,1893,73,5.162,10.554
https://actu7.cd/,17.903s,10.511,2378,71,5.744,14.959
https://actu7.cd/,16.647s,9.053,2378,71,4.396,12.850
https://adfoc.us/,4.186s,2.937,269,41,2.809,3.991
https://adfoc.us/,5.835s,3.302,269,41,3.024,5.354
https://adfoc.us/,5.112s,3.131,269,41,3.058,4.915
https://afad.gov.tr/,10.417s,7.377,2833,120,5.566,10.096
https://afad.gov.tr/,9.389s,5.965,2425,95,5.130,8.349
https://afad.gov.tr/,9.228s,6.763,2424,94,6.156,8.378
https://affilio.ir/,14.313s,5.423,1235,70,3.312,12.930
https://affilio.ir/,13.085s,5.454,1235,70,3.045,12.835
https://affilio.ir/,15.310s,6.830,1235,69,3.960,13.756
https://ahram.org.eg/,42.263s,9.627,4756,395,4.713,26.471
https://ahram.org.eg/,19.921s,11.454,133,131,5.697,19.921
https://ahram.org.eg/,41.890s,9.210,4733,388,5.122,27.341
https://ait.ac.th/,6.417s,4.412,2155,46,2.679,4.255
https://ait.ac.th/,5.294s,4.414,2155,46,3.143,4.057
https://ait.ac.th/,5.862s,4.584,2155,46,2.999,4.579
https://aleqaria.com.eg/,21.205s,8.452,2560,198,5.945,8.478
https://aleqaria.com.eg/,20.278s,6.741,2585,204,4.056,7.024
https://aleqaria.com.eg/,25.449s,9.407,2559,197,6.560,9.034
https://alexu.edu.eg/,13.211s,4.883,18382,106,4.044,11.976
https://alexu.edu.eg/,11.278s,6.381,18381,105,5.664,10.588
https://alexu.edu.eg/,13.494s,8.764,18382,106,4.879,11.655
https://allabout.co.jp/,35.499s,9.788,2300,311,4.045,25.348
https://allabout.co.jp/,28.843s,9.205,2299,290,2.679,21.555
https://allabout.co.jp/,31.478s,11.098,2300,305,4.634,26.921
https://alzahra.ac.ir/,13.506s,7.662,5316,114,3.379,12.842
https://alzahra.ac.ir/,11.875s,7.668,5184,114,4.185,11.366
https://alzahra.ac.ir/,11.549s,7.035,5316,114,3.896,10.403
https://ameblo.jp/,8.865s,5.756,818,35,3.145,5.590
https://ameblo.jp/,8.674s,5.361,867,43,2.828,5.539
https://ameblo.jp/,10.452s,7.649,868,44,4.709,7.595
https://amharabank.com.et/,19.733s,6.593,1598,52,6.615,3.093
https://amharabank.com.et/,16.846s,6.381,2685,52,6.396,2.958
https://amharabank.com.et/,14.864s,6.102,1410,52,6.129,2.732
https://amharacoc.gov.et/,3.137s,2.883,68,28,2.732,2.821
https://amharacoc.gov.et/,3.040s,2.767,68,28,2.643,2.735
https://amharacoc.gov.et/,4.244s,3.431,68,28,3.362,3.463
https://amharajusticetraining.gov.et/,4.781s,4.161,733,35,3.982,4.165
https://amharajusticetraining.gov.et/,4.489s,4.638,733,35,3.599,3.679
https://amharajusticetraining.gov.et/,6.125s,5.418,733,35,5.145,5.086
https://anilist.co/,27.579s,6.256,1509,325,6.253,9.051
https://anilist.co/,30.792s,8.732,1522,338,8.745,11.536
https://anilist.co/,27.119s,6.480,1520,306,6.479,9.168
https://aptus.co.tz/,3.762s,2.690,545,44,2.629,2.531
https://aptus.co.tz/,3.855s,2.970,545,44,2.946,3.484
https://aptus.co.tz/,4.256s,3.932,545,44,3.875,3.820
https://assets.nhs.uk/,1.681s,1.199,1,2,1.148,1.051
https://assets.nhs.uk/,1.530s,1.332,1,2,1.196,1.117
https://assets.nhs.uk/,2.886s,2.750,1,2,2.631,2.566
https://atwiki.jp/,8.765s,3.158,723,56,2.778,5.129
https://atwiki.jp/,13.310s,7.455,722,55,6.918,9.654
https://atwiki.jp/,9.234s,3.437,722,55,3.128,5.211
https://audius.co/,39.408s,31.719,21433,98,31.495,37.903
https://audius.co/,37.594s,33.523,21394,95,31.743,36.105
https://audius.co/,36.420s,32.350,21402,96,32.243,34.818
https://autoteka.ru/,32.541s,10.975,5433,110,3.724,27.476
https://autoteka.ru/,29.948s,13.857,5434,113,4.444,21.759
https://autoteka.ru/,31.845s,10.977,5433,113,3.312,23.619
https://azbyka.ru/,5.589s,2.373,291,33,2.376,2.451
https://azbyka.ru/,8.415s,7.124,291,33,7.127,7.012
https://azbyka.ru/,6.064s,4.480,291,33,4.278,4.658
https://baemin.vn/,13.026s,5.815,2069,61,4.758,11.003
https://baemin.vn/,6.443s,2.744,2069,61,2.112,3.541
https://baemin.vn/,7.165s,3.229,2069,61,2.450,6.077
https://bama.ir/,15.895s,6.722,1992,69,5.896,12.375
https://bama.ir/,13.663s,4.403,2111,66,3.636,10.004
https://bama.ir/,12.794s,3.563,2049,73,2.729,5.092
https://bambooclothing.co.uk/,123.068s,16.043,37970,489,5.395,0.000
https://bambooclothing.co.uk/,124.168s,19.637,35228,464,9.084,0.000
https://bambooclothing.co.uk/,122.667s,16.209,35773,447,5.312,0.000
https://band.us/home,7.678s,5.634,1780,31,5.595,6.839
https://band.us/home,7.830s,6.079,1780,31,6.097,7.097
https://band.us/home,5.428s,4.993,1780,31,5.034,5.249
https://bangladesh.gov.bd/index.php,74.094s,8.228,8241,249,6.879,50.102
https://bangladesh.gov.bd/index.php,77.914s,10.302,5477,246,8.162,51.827
https://bangladesh.gov.bd/index.php,74.136s,12.283,8240,223,10.704,62.364
https://bazeuniversity.edu.ng/,25.013s,9.703,17798,111,6.496,22.497
https://bazeuniversity.edu.ng/,32.332s,11.501,18991,121,5.562,28.366
https://bazeuniversity.edu.ng/,33.731s,12.945,18473,122,6.445,28.891
https://bb.com.br/pbb/,7.595s,0.000,4,4,5.850,7.150
https://bb.com.br/pbb/,5.487s,0.000,4,4,4.290,5.063
https://bb.com.br/pbb/,5.063s,0.000,4,4,3.662,4.617
https://bdris.gov.bd/home,10.164s,9.972,601,23,9.862,9.805
https://bdris.gov.bd/home,8.137s,7.500,601,23,6.920,7.934
https://bdris.gov.bd/home,10.834s,10.395,601,23,10.195,10.450
https://betika.et/et/mobile/,19.889s,8.661,11998,87,2.949,18.873
https://betika.et/et/mobile/,19.329s,8.994,11950,77,1.729,18.661
https://betika.et/et/mobile/,19.778s,8.850,11950,79,2.279,18.287
https://betwinner.cd/en,6.553s,5.030,100,19,5.059,6.365
https://betwinner.cd/en,5.874s,3.595,100,19,3.580,5.654
https://betwinner.cd/en,4.005s,3.927,100,19,3.964,3.775
https://biashara.co.ke/,4.318s,4.927,50,6,4.101,4.318
https://biashara.co.ke/,6.574s,7.185,50,6,6.445,6.574
https://biashara.co.ke/,4.740s,4.135,50,6,3.311,4.740
https://biwork.ru/,19.094s,7.720,2230,116,7.667,12.959
https://biwork.ru/,15.264s,4.435,2230,116,4.395,8.813
https://biwork.ru/,17.668s,6.618,2229,115,6.628,11.081
https://bkm.com.tr/,5.398s,3.725,972,42,2.662,5.154
https://bkm.com.tr/,5.604s,4.398,971,41,3.562,5.216
https://bkm.com.tr/,5.479s,4.584,971,41,3.629,5.242
https://bri.co.id/,9.959s,9.271,4702,138,4.979,9.549
https://bri.co.id/,10.433s,9.782,4701,137,6.112,10.033
https://bri.co.id/,0.000s,0.000,0,0,-,0.000
https://brunch.co.kr/,1.967s,0.000,17,2,-,1.369
https://brunch.co.kr/,2.093s,0.000,17,2,-,1.555
https://brunch.co.kr/,2.649s,0.000,17,2,-,1.624
https://bubbl.us/,7.074s,2.877,787,35,1.679,5.572
https://bubbl.us/,7.361s,3.602,787,35,2.646,6.160
https://bubbl.us/,8.400s,3.509,787,35,2.279,6.625
https://businessmirror.com.ph/,51.382s,12.947,3463,375,7.695,39.205
https://businessmirror.com.ph/,102.800s,13.122,3517,471,8.599,0.000
https://businessmirror.com.ph/,45.287s,11.020,3458,373,7.595,37.322
https://businesstech.co.za/,3.247s,3.186,55,6,3.230,3.165
https://businesstech.co.za/,3.447s,3.352,55,6,3.405,3.346
https://businesstech.co.za/,5.627s,5.549,55,6,5.594,5.526
https://buyabattery.co.uk/,12.121s,9.191,3686,105,6.557,11.017
https://buyabattery.co.uk/,10.887s,8.132,3686,105,5.384,9.528
https://buyabattery.co.uk/,11.104s,8.049,3686,105,5.396,9.590
https://buypower.ng/,20.162s,5.253,1238,85,3.927,8.215
https://buypower.ng/,19.096s,4.199,1238,85,2.779,7.410
https://buypower.ng/,23.549s,4.779,4136,143,3.314,8.344
https://cabinet.gov.bd/,40.333s,9.076,11277,137,6.862,31.025
https://cabinet.gov.bd/,37.860s,10.444,11277,137,8.730,31.012
