URL,plt,lh_si,pagesize,numreq,fcp,domC
http://m.todayhumor.co.kr/,11.785s,4.189,870,51,4.045,7.861
http://m.todayhumor.co.kr/,9.552s,2.227,871,52,2.066,5.656
http://m.todayhumor.co.kr/,12.091s,1.773,870,51,1.617,5.584
https://1x-bet.in/en,2.924s,2.814,110,19,2.865,2.677
https://1x-bet.in/en,6.335s,2.816,110,19,2.862,6.152
https://1x-bet.in/en,5.491s,3.932,110,19,3.978,5.330
https://1xbet.cd/,26.175s,15.769,4469,137,4.662,11.393
https://1xbet.cd/,30.644s,15.110,4483,138,6.263,10.000
https://1xbet.cd/,31.556s,14.757,4494,138,4.687,9.356
https://1xbet.et/en,18.573s,13.932,2828,109,4.710,8.648
https://1xbet.et/en,19.074s,13.245,3286,112,4.412,7.993
https://1xbet.et/en,20.170s,14.390,3286,111,5.147,8.096
https://2b.com.eg/ar/,43.545s,31.421,2256,487,5.462,34.029
https://2b.com.eg/ar/,42.987s,31.957,2256,487,3.825,34.019
https://2b.com.eg/ar/,42.926s,31.888,2256,487,4.063,34.252
https://66law.cn/,2.683s,0.583,11,3,0.630,0.563
https://66law.cn/,0.946s,0.850,0,2,0.904,0.793
https://66law.cn/,3.293s,0.550,11,3,0.602,0.521
https://7sur7.cd/,11.091s,5.628,835,81,3.362,7.951
https://7sur7.cd/,25.852s,7.075,2640,88,3.179,5.700
https://7sur7.cd/,21.973s,8.371,2639,84,3.161,6.018
https://actu7.cd/,15.662s,8.236,1842,71,3.979,12.572
https://actu7.cd/,16.016s,8.766,1842,71,4.147,12.396
https://actu7.cd/,15.113s,8.867,1842,71,4.278,12.268
https://adfoc.us/,3.921s,2.638,224,41,2.560,3.572
https://adfoc.us/,3.675s,1.988,224,41,1.812,3.466
https://adfoc.us/,3.363s,1.975,224,41,1.892,3.172
https://afad.gov.tr/,7.544s,4.945,1649,94,4.362,7.311
https://afad.gov.tr/,7.672s,5.047,1649,94,4.465,7.410
https://afad.gov.tr/,8.342s,5.042,1650,95,4.412,7.829
https://affilio.ir/,12.820s,3.939,1193,70,1.712,11.568
https://affilio.ir/,12.584s,4.439,1193,77,1.962,11.778
https://affilio.ir/,14.135s,6.899,1192,69,4.003,13.857
https://ahram.org.eg/,44.220s,11.383,3733,389,4.952,27.090
https://ahram.org.eg/,47.895s,11.134,3727,396,3.814,28.881
https://ahram.org.eg/,34.558s,8.975,3778,390,3.828,25.354
https://ait.ac.th/,6.502s,6.558,1654,47,2.160,3.962
https://ait.ac.th/,4.005s,2.939,1605,46,1.279,3.600
https://ait.ac.th/,7.688s,8.023,1654,47,4.183,5.148
https://aleqaria.com.eg/,21.083s,5.061,2275,204,2.442,6.078
https://aleqaria.com.eg/,22.552s,5.336,2274,199,2.492,6.471
https://aleqaria.com.eg/,21.587s,5.622,2274,199,2.410,9.126
https://alexu.edu.eg/,8.365s,4.158,15986,105,2.928,7.775
https://alexu.edu.eg/,47.271s,5.092,16595,106,2.776,46.486
https://alexu.edu.eg/,12.036s,7.612,16419,106,6.045,11.752
https://allabout.co.jp/,23.782s,7.949,1918,171,2.713,13.462
https://allabout.co.jp/,21.077s,4.045,1388,270,2.834,16.746
https://allabout.co.jp/,29.356s,8.933,1956,241,2.645,24.543
https://alzahra.ac.ir/,8.934s,5.764,4621,114,2.519,8.535
https://alzahra.ac.ir/,8.677s,5.567,4621,114,2.262,8.282
https://alzahra.ac.ir/,9.995s,6.563,4621,114,3.427,9.073
https://ameblo.jp/,8.653s,5.780,476,36,2.862,5.736
https://ameblo.jp/,8.536s,5.285,475,35,2.763,5.349
https://ameblo.jp/,8.031s,4.691,475,35,2.261,4.962
https://amharabank.com.et/,16.822s,6.237,2548,52,6.249,2.991
https://amharabank.com.et/,25.314s,5.337,2665,52,5.145,1.871
https://amharabank.com.et/,15.924s,7.170,1319,52,7.158,3.830
https://amharacoc.gov.et/,2.059s,1.745,60,28,1.544,1.790
https://amharacoc.gov.et/,2.701s,1.462,60,28,1.315,1.933
https://amharacoc.gov.et/,1.968s,1.518,60,28,1.362,1.654
https://amharajusticetraining.gov.et/,4.172s,4.126,414,35,2.873,3.288
https://amharajusticetraining.gov.et/,3.244s,2.680,414,35,2.412,2.609
https://amharajusticetraining.gov.et/,3.697s,3.161,414,35,2.782,3.087
https://anilist.co/,28.072s,6.373,1477,328,6.378,9.191
https://anilist.co/,26.417s,6.328,1481,283,6.312,10.057
https://anilist.co/,28.660s,5.916,1493,317,5.912,8.639
https://aptus.co.tz/,1.825s,1.226,515,44,1.180,1.424
https://aptus.co.tz/,1.859s,1.179,515,44,1.098,1.357
https://aptus.co.tz/,2.013s,1.290,515,44,1.312,1.565
https://assets.nhs.uk/,1.680s,1.283,1,2,1.254,1.164
https://assets.nhs.uk/,1.275s,1.022,1,2,0.995,0.920
https://assets.nhs.uk/,3.095s,2.250,1,2,2.248,2.160
